Designator,Mid X,Mid Y,Rotation,Layer
C1_2,22.3,31.0,180.0,top
C1,22.2,31.0,180.0,top
D1,17.4,20.5,90.0,top
J1,22.2,38.0,180.0,top
J3,5.0,16.73,270.0,top
J4,5.0,28.27,90.0,top
J5,40.0,28.27,90.0,top
J6,40.0,16.73,270.0,top
Q1,22.5,22.5,270.0,top
R1,11.8,21.5,0.0,top
